registerCode,name
﻿SS0758,首誉光控-盘兴能源专项资产管理计划五号
SS1788,华润元大资产乾元70号专项资产管理计划
SS1836,创金合信-国睿聚盈1号资产管理计划
SR9362,华夏基金-黄浦江1号资产管理计划
SS1841,鹏华基金-鹏宁1号资产管理计划
SS1752,鹏华资产金源1号资产管理计划
SS1867,长安久期多策略1号投资组合
SS1831,天弘弘心1号资产管理计划
SS1763,易方达基金悉赢9号资产管理计划
SS1691,博时资本-铂锭457号专项资产管理计划
SS1852,长安基金映雪信诺2号资产管理计划
SS1707,国投瑞银资本君泽廊银1号专项资产管理计划
SS1827,富荣基金-锦松定增I号资产管理计划
SS1759,嘉实资本稳健108号专项资产管理计划
SS1774,万家共赢泰山30号专项资产管理计划
SS1861,东海瑞京-瑞信62号红花岗城投四期专项资产管理计划
S96336,博时基金-兴业银行-步步高19号资产管理计划
S96915,博时资本-铂锭57号专项资产管理计划
SS1773,万家共赢泰山37号专项资产管理计划
SS1801,新华富时合利58号专项资产管理计划
SS1775,嘉实资本极光26号专项资产管理计划
SS1784,鹏华资产天行润汇1号2期专项资产管理计划
SS1760,嘉实资本稳健109号专项资产管理计划
SS1776,创金合信弘盈5号资产管理计划
SS1851,财通基金-玉泉735号资产管理计划
SS1862,长安基金映雪信诺4号资产管理计划
SS1843,长安基金映雪信诺1号资产管理计划
SS1747,新华基金恒睿2号阶梯式资产管理计划
SS1857,长安基金映雪信诺3号资产管理计划
SS1792,中信建投基金-北方信托嘉祥农商银行资产管理计划
SS1826,中科沃土沃泽新三板10号资产管理计划
SS1545,建信资本稳健增值泰康3号专项资产管理计划
SS1658,九泰基金-泰悦定增4号资产管理计划
SS1635,海富通优胜1号资产管理计划
SS1664,鹏华资产永盛2号专项资产管理计划
SS1548,招商财富-中城勇逸11号专项资产管理计划
SS1461,长信-浦信利1号资产管理计划
SS1571,信达澳银基金-兴业信托纯债理财资产管理计划
SS1576,圆信永丰兴业财富1号资产管理计划
SS1671,长安长晟华年6号资产管理计划
SS1584,德邦创新资本-鸿米中邮系列应收账款投资4号专项资产管理计划
SS1510,天弘鹏程致远1号资产管理计划
SS1652,财通基金-玉泉700号资产管理计划
SS1653,中欧基金-浦发银行1期资产管理计划
SS1463,嘉实资本稳健107号专项资产管理计划
SS1672,财通资产-三宝集团2号特定多个客户专项资产管理计划
SS1642,新华基金共赢增长1号资产管理计划
SS1666,万家共赢泰山36号专项资产管理计划
SS1509,鑫元基金-黑水磐石-鑫合通45号资产管理计划
SS1660,兴业财富-兴金461号单一客户专项资产管理计划
SS1678,招商财富-招商银行-坤藤元亨1号专项资产管理计划
SS1595,圆信永丰-兴业财富1号资产管理计划
SS1297,招商财富和利1号专项资产管理计划
SS1238,建信—融晨漂亮阿尔法资产管理计划
SS1348,国金基金元萃2号资产管理计划
SS1447,泰达宏利恒明鼎盛1号资产管理计划
SS1224,粤享财富25号-嘉实资本智臻七期专项资产管理计划
SS1371,嘉实基金-昆仑银行债券1号资产管理计划
SS1417,红土创新红石可交换债1号资产管理计划
SS1440,光大保德信-工商银行QDII专户1号资产管理计划
SS1420,金鹰广农商混合债券精选1号资产管理计划
SS1270,兴业财富-兴金471号单一客户专项资产管理计划
SS1334,富诚海富通富通二号专项资产管理计划
SS1452,海富通-锐成一对一资产管理计划
SR7849,银河资本稳健对冲1号资产管理计划
SS1408,招商基金-华润信托-鼎睿博荟资产管理计划
SS1385,兴全-东富1号特定客户资产管理计划
SS1312,兴业财富-兴金472号单一客户专项资产管理计划
SS1381,建信资本郑州惠济天泽专项资产管理计划
SS1441,易方达智汇精选1号资产管理计划
SS1226,粤享财富26号-嘉实资本分级基金A份额专项资产管理计划
SS1220,嘉实资本嘉选1号专项资产管理计划
SS1428,创金合信合睿6号特定客户资产管理计划
SS1421,创金合信鼎丰6号资产管理计划
SS1228,泰达宏利价值成长定向增发622号
SS1272,景顺长城沪港深22号资产管理计划
SS1396,融通基金悉赢13号专户资产管理计划
SS1425,富安达-富享12号资产管理计划
SS1398,富安达-富享11号资产管理计划
SS1397,富安达-富享10号资产管理计划
SS1366,建信耀享特定多个客户资产管理计划
