fundNo,fundName
﻿SD3113,嘉兴全意投资合伙企业
04390118,友山腾达-天弘天方1号专项资产管理计划
0BA016,东海基金-东航期货-健峰凌云1号资产管理计划
200100,万家共赢歌斐诺宝精选组合1号专项资产管理计划
870015,广发昭时一期集合资产管理计划
B000783,汇添富-东航期货精英1号资产管理计划
B000960,财通基金-东航金融1号资产管理计划
B001376,财通基金-百新1号资产管理计划
SD1318,上海国富永源投资企业（有限合伙）
SD1319,上海国富永泽投资中心（有限合伙）
SD1320,中信资本（天津）股权投资合伙企业（有限合伙）
SD1321,北京中关村国盛创业投资中心（有限合伙）
SD1322,中信.康曼德001号管理型金融投资集合资金信托计划
SD1327,上海国药股权投资基金合伙企业（有限合伙）
SD1333,上海硅谷天堂合众创业投资有限公司
SD1337,上海国富永沣投资合伙企业（有限合伙）
SD1338,上海国富永熙投资合伙企业（有限合伙）
SD1339,上海国富永瀛投资合伙企业（有限合伙）
SD1341,珠海横琴中科白云股权投资基金合伙企业（有限合伙）
SD1342,梅州中科客家创业投资有限公司
SD1343,广东粤科天使一号创业投资有限公司
SD1344,佛山中科金禅智慧产业股权投资合伙企业（有限合伙）
SD1345,中山中科股权投资有限公司
SD1352,武汉硅谷天堂合盈创业投资有限公司
SD1353,长沙先导硅谷天堂创业投资有限公司
SD1354,武汉硅谷天堂阳光创业投资有限公司
SD1355,成都硅谷天堂通威银科创业投资有限公司
SD1356,深圳硅谷天堂阳光创业投资有限公司
SD1361,武汉硅谷天堂恒誉创业投资基金合伙企业(有限合伙)
SD1362,北京硅谷天堂合众创业投资有限公司
SD1364,建银城投（上海）绿色环保股权投资有限公司
SD1365,上海复星惟实一期股权投资基金合伙企业（有限合伙）
SD1366,昆山歌斐谨永股权投资中心（有限合伙）
SD1370,宁波国富永钰投资合伙企业（有限合伙）
SD1371,上海国富永钤投资合伙企业（有限合伙）
SD1372,上海国富永钦投资合伙企业（有限合伙）
SD1373,上海国富永楠投资合伙企业（有限合伙）
SD1374,上海国富永泓投资企业（有限合伙）
SD1375,天津歌斐鑫股权投资基金合伙企业（有限合伙）
SD1376,天津歌斐兴业股权投资基金合伙企业（有限合伙）
SD1379,上海沃朝隆投资管理中心（有限合伙）
SD1380,上海沃祥隆投资管理中心（有限合伙）
SD1381,上海沃武隆投资管理中心（有限合伙）
SD1384,天津鼎晖嘉尚股权投资合伙企业 &#40;有限合伙&#41;
SD1390,信达领先股权投资有限公司
SD1393,无锡红杉兴业股权投资合伙企业（有限合伙）
SD1394,杭州红杉合远股权投资合伙企业（有限合伙）
SD1395,绍兴红杉慧远股权投资合伙企业（有限合伙）
SD1400,天津君睿祺股权投资合伙企业（有限合伙）
SD1401,上海复星创富股权投资基金合伙企业（有限合伙）
SD1406,上海沃欣隆投资管理中心（有限合伙）
SD1408,上海沃鹤隆投资管理中心（有限合伙）
SD1409,上海沃乾润投资管理中心（有限合伙）
SD1410,中新建招商股权投资有限公司
SD1413,信达股权投资有限公司
SD1414,信达国萃股权投资基金（上海）合伙企业（有限合伙）
SD1416,北京红杉信远股权投资中心（有限合伙）
SD1420,天津红杉聚业股权投资合伙企业（有限合伙）
SD1421,天津红杉资本投资基金中心&#40;有限合伙）
SD1422,天津红杉建业股权投资合伙企业（有限合伙）
SD1423,天津红杉基业股权投资合伙企业（有限合伙）
SD1424,珠海红杉资本股权投资中心（有限合伙)
SD1425,天津红杉开药股权投资合伙企业（有限合伙）
SD1426,天津红杉弘业股权投资合伙企业（有限合伙）
SD1427,上海贵远投资合伙企业（有限合伙）
SD1430,北京君联睿智创业投资中心（有限合伙）
SD1432,苏州工业园区国创创业投资有限公司
SD1437,天津红杉盛业股权投资合伙企业（有限合伙）
SD1438,天津红杉雅达股权投资合伙企业（有限合伙）
SD1439,北京红杉昌远股权投资中心（有限合伙）
SD1444,昆山歌斐鸿乾股权投资中心（有限合伙）
SD1446,青岛金石泓信投资中心（有限合伙）
SD1454,国创元禾创业投资基金（有限合伙）
SD1459,中山中科鸿业创业投资有限公司
SD1460,中山中科南头创业投资有限公司
SD1461,中山中科阜鑫投资管理有限公司
SD1462,中山中科新港创业投资有限公司
SD1463,中山中科三乡创业投资有限公司
SD1464,珠海横琴中科浏阳河创业投资合伙企业（有限合伙）
SD1465,湖南中科浏阳河创业投资有限公司
SD1466,中山中科恒业投资管理有限公司
SD1535,天津鼎晖元博股权投资基金 &#40;有限合伙&#41;
SD1546,中国农业产业发展基金有限公司
SD1602,天津歌斐太美资产管理合伙企业（有限合伙）
SD1617,昆山歌斐嘉汇股权投资中心（有限合伙）
SD1707,上海歌斐星舟投资中心&#40;有限合伙&#41;
SD1800,上海歌斐景曦投资中心&#40;有限合伙&#41;
SD1821,上海歌斐彩虹投资合伙企业&#40;有限合伙&#41;
SD6107,上海硅谷天堂阳光创业投资有限公司 
SD6117,天津硅谷天堂瑞焱投资合伙企业（有限合伙）
SD6217,信达财富投资管理有限公司
SD6243,昆山歌斐鸿坤股权投资中心（有限合伙）
SD6273,昆山歌斐谨弘股权投资中心（有限合伙）
SD6275,上海沃文隆投资管理中心（有限合伙）
SD6317,广东中科白云新兴产业创业投资基金有限公司
SD6318,天津歌斐基业股权投资基金合伙企业（有限合伙）
SD6322,中山中科创业投资有限公司
SD6328,无锡红杉恒业股权投资合伙企业（有限合伙）
SD6331,上海歌斐鸿仑投资中心（有限合伙）
SD6334,天津歌斐嘉安股权投资基金合伙企业（有限合伙）
